Référence,Type de bien,Prix de vente,Surface totale m²,€/m²,Nb pièces,Nb chambres,Autres,Commune,Détail Localisation,Note localisation,Etiquette NRJ,Etiquette GES,Coût copro /an,Coût charge /an,Autres coûts /an,Prix location /mois,Lien,Description entière annonce,Date publication annonce
1,Appartement,86000,80,1 075 €,4,2,/,SAINT-ETIENNE,HYPER CENTRE- A 2 pas de la Rue General FOY - proches commerces et trams,5,D,E,"600,00 €",/,/,580 €,https://www.leboncoin.fr/ventes_immobilieres/1753758201.htm,"ST ETIENNE / HYPER CENTRE- A 2 pas de la Rue General FOY. Dans un immeuble ancien en pierre, T4 de 80 m² en étage, actuellement loué 580 €/mois, séjour/salon, cuisine équipée, très clair, double vitrage pvc, chaudière au gaz récente, 2 chambres, proches commerces et trams. Veuillez contacter IMMO DE FRANCE Patrice EXCOFFIER au 06 88 74 73 72 (patrice.excoffier@immodefrance-fv.fr), pour tous renseignements complémentaires. Référence annonce : 29872484 Les honoraires sont à la charge du vendeur A propos de la copropriété : Nombre de lots : 14 Charges prévisionnelles annuelles : 600 €",27/11/2020
2,Appartement,91000,78,1 167 €,3,2,Intégralement rénové,SAINT-ETIENNE,CHARITÉ - à 2 pas rue Michelet,4,C,D,"841,00 €",/,/,/,https://www.leboncoin.fr/ventes_immobilieres/1883997049.htm,"ST ETIENNE / CHARITÉ- T3 de 78m² traversant sans vis à vis - Dans petite copropriété en pierre, bien entretenue à deux pas rue Michelet - intégralement rénové - beau parquet - 2 chambres + Un bureau - grande cuisine meublée équipée - belle salle de bains lumineuse - chauffage et eau chaude individuel gaz - faible charges - à voir rapidement (vidéo sur demande). Veuillez contacter IMMO DE FRANCE - Nadège REYNAUD au 06 58 95 44 00 (nadege.reynaud@immodefrance-fv.fr), pour tous renseignements complémentaires. Référence annonce : 33069471 Les honoraires sont à la charge du vendeur A propos de la copropriété : Nombre de lots : 29 Charges prévisionnelles annuelles : 841 €",27/11/2020
3,Appartement,82000,89,921 €,4,3,/,SAINT-ETIENNE,Préfecture / JEAN-JAURES,5,C,D,"1 476,00 €",/,/,/,https://www.leboncoin.fr/ventes_immobilieres/1883684293.htm,"ST ETIENNE / Préfecture / JEAN-JAURES- Idéal investisseur pour location étudiant - T4 de 89 m² - dans petite copropriété pierre - 3 chambres - cuisine ouverte sur salon - traversant - chauffage individuel gaz - à visiter rapidement. Veuillez contacter IMMO DE FRANCE - Nadège REYNAUD au 06 58 95 44 00 (nadege.reynaud@immodefrance-fv.fr), pour tous renseignements complémentaires. Référence annonce : 33210249 Les honoraires sont à la charge du vendeur A propos de la copropriété : Nombre de lots : 20 Charges prévisionnelles annuelles : 1476 €",27/11/2020
4,Appartement,75000,67,1 119 €,4,2,"Grand balcon, vue panoramique, petit balcon, cave, garage",SAINT-ETIENNE,COLLINE DES PERES - Secteur calme,2,D,E,"1 680,00 €",/,/,/,https://www.leboncoin.fr/ventes_immobilieres/1868192403.htm,"ST ETIENNE / COLLINE DES PERES - Secteur calme - Beau T4 rénové de 68 m² avec son séjour plein ouest avec grand balcon-Vue panoramique-2 chambres-Cuisine équipée avec petit balcon-Double vitrage-Salle d'eau-WC indépendant-Cave-Garage-Veuillez contacter IMMO DE FRANCE - Céline LENORMAND au 06 72 48 22 64 (celine.lenormand@immodefrance-fv.fr), pour tous renseignements complémentaires. Référence annonce : 31612926 Les honoraires sont à la charge du vendeur A propos de la copropriété : Nombre de lots : 43 Charges prévisionnelles annuelles : 1680 €",27/11/2020
5,Appartement,101000,92,1 098 €,5,3,"Garage, 2 balcons",SAINT-ETIENNE,Proche cours Fauriel,4,D,E,"2 580,00 €",/,/,/,https://www.leboncoin.fr/ventes_immobilieres/1584480016.htm,"Proche cours Fauriel. F5 de 92m² avec garage, comprenant cuisine équipée donnant sur balcon, cellier, séjour de 28m² avec balcon orienté Ouest, 3 chambres de 10, 11 et 12m², salle de eau ,SDB WC, nombreux rangements. Appartement lumineux, avec double vitrage, volets électriques, rénové récemment sans aucun vis-à-vis et vue dominante. Dans une copropriété bien entretenue. À voir rapidement ! Bien soumis au statut juridique de la Copropriété. Nb de lots : 222. Charges annuelles de copropriété (Montant moyen annuel quote-part du budget prévisionnel vendeur) : 2 580 €. chauffage, ascenseur, eau chaude Merci de contacter Mathieu au 06 23 40 30 62 En Aparté, Place Chavanelle, *** DPE : D GES : E La présente annonce immobilière a été rédigée sous la responsabilité éditoriale de Mathieu DEBARD Mathieu , Agent Commercial mandataire en immobilier immatriculé au Registre Spécial des Agents Commerciaux (RSAC) du Tribunal de Commerce de SAINT ETIENNE sous le numéro RSAC N° 513 841 072. Les honoraires de l'agence sont à la charge du vendeur. Référence annonce : 42003746 Les honoraires sont à la charge du vendeur A propos de la copropriété : Pas de procédure en cours Nombre de lots : 222 Charges prévisionnelles annuelles : 2580 €",26/11/2020
6,Appartement,79800,66,1 209 €,4,3,"cave avec éclairage, garage avec éclairage, balcon devant et derrière, traversant",SAINT-ETIENNE,COLLINE DES PERES - Secteur calme,2,D,E,/,/,/,/,https://www.leboncoin.fr/ventes_immobilieres/1855962133.htm,"Appartement F4 66 m² ensoleillé, quartier colline des Pères à SAINT ETIENNE 42000 comprenant 3 chambres dont une avec possibilité de faire un salon ,salle à manger, cuisine aménagée, salle de bain aménagée, wc séparé, cave avec éclairage, garage avec éclairage, balcon devant et derrière, traversant, placards chambres et entrée, PVC, fenêtre oscillo battant. 1er étage 1er étage AGENCE S'ABSTENIR ! tél. 0666365363 79.800 euros",04/12/2020
7,Appartement,175000,145,1 207 €,5,4,"bon état général, double vitrage, chauffage individuel gaz (chaudière Leblanc) parquet chevron, cheminées, balcon donnant sur deux pièces. une place de parking est louée dans la cour de la copropriété.",SAINT-ETIENNE,"Proche de la Place Dorian, à proximité immédiate de toutes les commodités (trams, bus, boutiques, restaurants, Picard...) ",5,/,/,/,/,/,/,https://www.leboncoin.fr/ventes_immobilieres/1860849793.htm,"Proche de la Place Dorian, à proximité immédiate de toutes les commodités (trams, bus, boutiques, restaurants, Picard...) appartement de 145 m², aux volumes bourgeois, situé au 2e étage, traversant, comprenant un séjour, une cuisine séparée (possibilité d'ouvrir), 4 chambres, dont une de 25 m² et une chambre équipée d'une salle d'eau, une salle de bains, toilettes séparées. L'appartement est en bon état général, double vitrage, chauffage individuel gaz (chaudière Leblanc) parquet chevron, cheminées, balcon donnant sur deux pièces. Charges peu élevées, une place de parking est louée dans la cour de la copropriété. Agences s'abstenir, merci.",04/12/2020
8,Maison,165000,109,1 514 €,4,3,"terrain d'environ 481 m2 est agrémenté d'une cour intérieure, un jeu de boule, un cabanon de rangement, un garage double.",SAINT-ETIENNE,à proximité du centre commercial Monthieuà proximité du centre commercial Monthieu,3,/,/,/,/,/,/,https://www.leboncoin.fr/ventes_immobilieres/1856416131.htm,"MAISON TYPE 4, 109 m2, TERRASSE, JARDIN, GARAGE DOUBLE DOHM IMMOBILIER Villars vous propose sur la commune de Saint-Etienne à proximité du centre commercial Monthieu, une maison de type T4 en duplex inversé. A l'étage la cuisine indépendate dispose d'une ouverture directe sur la terrasse de 22 m2 exposée sud. En rdc trois grandes chambres. A chaque niveau 1 wc, 1 SDB. Le terrain d'environ 481 m2 est agrémenté d'une cour intérieure, un jeu de boule, un cabanon de rangement, un garage double. Prévoir un rafraichissement d'agrémentation. Pour tout complément d'information contactez Michel LASSABLIERE au 06.71.37.34.81 Référence annonce : 1020_522 Prix hors honoraires : 165 000 €",04/12/2020
9,Appartement,95000,75,1 267 €,4,2,"garage, vue panoramique, balcon",SAINT-ETIENNE,Quartier Bellevue,3,E,F,/,2 400 €,1 022 €,/,https://www.leboncoin.fr/ventes_immobilieres/1872208196.htm,"Quartier Bellevue vend appartement type F4 et garage vaste salon / séjour 2 chambres, cuisine équipée contemporaine, salle de bain douche à l'italienne en parfait état, 9ème et dernier étage, vue panoramique, balcon, nombreux rangements dans résidence sécurisée. Taxe foncière 1022 euros, charges annuelles 2400 euros (chauffage collectif gaz eau chaude eau froide entretien de l'immeuble Curieux et professionnels s'abstenir.",04/12/2020
10,Appartement,90000,87,1 034 €,3,2,garage,SAINT-ETIENNE,Foch,3,D,E,/,/,/,/,https://www.leboncoin.fr/ventes_immobilieres/1889139290.htm,"Appartement FOCH Dans bel copropriété Art Déco, au 3 étage, bel appartement de type 3 de 87.39 m² comprenant hall, cuisine, séjour, 2 chambres, salle d'eau, 2 chambres. Garage. Proximité commerces. A voir rapidement. Référence annonce : 420013325 Les honoraires sont à la charge du vendeur",04/12/2020
