Référence,Type de bien,Location / Colocation,Loyer location €/mois avec charges,Loyer colocation €/mois,Surface totale m²,€/m²,Nb pièces,Nb chambres,Autres,Commune,Détail Localisation,Note localisation,Etiquette NRJ,Etiquette GES,Coût copro /an,Coût charge /chambre (si coloc) /an,Autres coûts /an,Lien,Description entière annonce,Date publication annonce
1,Appartement,Location,440,440,45,"9,777777778",2,1,,SAINT-ETIENNE,"plein centre de Saint- Etienne ,bas de la rue Michel Rondet, plein centre de Saint- Etienne ,bas de la rue Michel Rondet",5,B,B,,600,,https://www.leboncoin.fr/locations/1889048451.htm,"Idéal étudiant,à louer en plein centre de Saint- Etienne ,bas de la rue Michel Rondet ,appartement 2 pièces comprenant 1 chambre ,1 salon avec cuisine américaine ,1 salle d.eau avec douche ,1 entrée avec grand placard.Chauffage au gaz avec chaudière neuve et doubles vitrage.L’appartement se trouve à proximité de l’ecole d’archi ,palais de justice ,mairie et tous les lieus de vie de Saint-Étienne ,vous accèderez aussi rapidement à pied ou en tramway à la cité du Design les facultés et hôpitaux ainsi qu’à la gare.A noter que l’appartement est situé au dernier étage sans ascenseur(3e),est très clair avec 5 grandes fenêtres. Le loyer est de 390 euros + 50 euros de charges comprenant l’ eau ,l’entretien des parties communes ,l’entretien de la chaudière et la Wifi.",04/12/2020
2,Appartement,Colocation,330,660,40,"16,5",3,2,NEUF et LUMINEUX - idéal étudiants et jeunes travailleurs - 1 salle de bains/douche privative par chambre - parking et internet gratuit,SAINT-ETIENNE,Proche grandes écoles - idéalement situé entre le Cours Fauriel et Centre 2 - espace vert et salle de sports proche - ligne de transports à proximité,4,,,,,,https://www.leboncoin.fr/colocations/1872256326.htm,"T3 MEUBLE - NEUF et LUMINEUX - idéal étudiants et jeunes travailleurs - 1 cuisine ouverte sur pièce commune, entièrement équipée, y compris vaisselle et lave linge - 2 chambres meublées literie confortable + 1 salle de bains/douche privative par chambre - Appartement phonique et thermique - Volets électriques parking et internet gratuit - Logement dans bâtiment privée, de 2 étages, sécurisé par portier - Proche grandes écoles - idéalement situé entre le Cours Fauriel et Centre 2 - espace vert et salle de sports proche - ligne de transports à proximité - visite possible sur rendez vous : Dominique 0616263490",04/12/2020
3,Appartement,Colocation,310,1240,94,"13,19148936",5,4,balcon,SAINT-ETIENNE,Écoles à proximité: ISTP - Institut régional universitaire.. 600m Faculté des sciences techniques à 800m IUT Institut universitaire de technologie à 1.6km ISTP institut de formation d'enseignement supérieur par alternance à 900m Maison des élèves de l'école des mines à 1.2km École des mines à 950m ENISE École nationale d'ingénieur à 900m Ligne de bus M4 à 400m qui dessert une grande partie des écoles et ligne M6 après M4 pour atteindre facilement l'école des mines,4,,,,600,,https://www.leboncoin.fr/colocations/1889110373.htm,"Colocation dans grand T5 de 94m2 à Saint Étienne quartier de la Métare rue Marcel Sembat très calme entre famille et beaucoup d'anciens fonctionnaire des écoles environnantes. Proche du parc de l'Europe.. Idéal étudiant faisant leurs études quartier de la Métare ou personne active avec l'accès à la RN 88 à moins de 2 min. Au 1er étage totalement refait à neuf. Proche de toute commodités Netto, Marie Blachere, pharmacie.. Grand nombre d'école que j'ai répertoriés en fin d'annonce. Très bel immeuble dominant Saint-Étienne qui malgré son 1er étage il dispose d'une très belle vue depuis son balcon. Interphone neuf. 4 chambres . 1 de 13 m2 : occupée 1 de 13m3 : libre 1 de 10m2 :occupée 1de 10m2 : libre Elles disposent chacune de leurs petit dressing, leur bureau, chaise et lampe. 2 salles de bains. 1 toilettes indépendant. 1 grande cuisine toute équipé avec toute la vaisselle (sauf lave vaisselle) qui va avec et les petits équipements. 1 salon avec canapé d'angle et grande TV écran plat 140cm 1 buanderie avec planche et fer à repasser, lave linge et sèche linge tout est neuf. Charges de 50€ comprenant l'eau chaude et froide, électricité, chauffage, internet full option de Bouygue. Bail à l'année avec 1 mois de dépôt de garantie et un garant si étudiant. Écoles à proximité: ISTP - Institut régional universitaire.. 600m Faculté des sciences techniques à 800m IUT Institut universitaire de technologie à 1.6km ISTP institut de formation d'enseignement supérieur par alternance à 900m Maison des élèves de l'école des mines à 1.2km École des mines à 950m ENISE École nationale d'ingénieur à 900m Ligne de bus M4 à 400m qui dessert une grande partie des écoles et ligne M6 après M4 pour atteindre facilement l'école des mines",04/12/2020
4,Appartement,Colocation,320,960,65,"14,76923077",5,3,tout équipe réaménagé dans un style chaleureux l'appartement vient d'être rénové.,SAINT-ETIENNE,"52 rue boulevard daguerre proches de leurs campus, du centre ville ainsi que des commerces et du réseaux de tramways ( à 1 min à pied). le campus jean monnet est à deux pas.",5,C,C,,840,,https://www.leboncoin.fr/colocations/1889017892.htm,"magnifique appartement tout équipe réaménagé dans un style chaleureux. composé de 3 chambres, un salon, une cuisine ouverte, une salle de bain, et de wc indépendant pour un maximum de confort. l'appartement vient d'être rénové. vous pouvez le visiter dès maintenant les soirs de semaine ou exceptionnellement certains week-ends. situé 52 rue boulevard daguerre, l'appartement est idéalement situé pour les étudiants désireux d'être proches de leurs campus, du centre ville ainsi que des commerces et du réseaux de tramways ( à 1 min à pied). le campus jean monnet est à deux pas. tout est meublé et équipé, au 2ème étage avec un ascenseur. l'appartement bénéficie d'une excellente luminosité. les pièces de vie commune comprennent : internet haut débit ,televison, lave-vaisselles , lave-linge, four, plaque induction, micro-ondes et tout le nécessaire pour vivre au mieux chaque chambre est équipée d'un lit double + chevet + dressing ... l'appartement possède également une salle de bain avec une douche à l'italienne, et pour le confort des colocataires, des wc indépendants. toutes les chrges sont incluent dans le loyé vous n'avez plus qu'à poser vos valises (internet, chauffage, copropriété, eau ...) - dépôt de garantie (1 mois de loyer) - eligible apl - 250€ de loyer + 70€ de charges soit 320€ par mois contact pour toute visite et/ou renseignement : gaspard journet 0622866945 ou gaspard.journet.thomas@gmail.com",04/12/2020
5,Appartement,Colocation,380,1140,80,"14,25",4,3,triples vitrages,SAINT-ETIENNE,"54 rue du onze novembre. Le tram au pied de l’immeuble, une grand centre commercial avec un hyper à 200 m. Le centre ville de Saint-Étienne se trouve à 10 min à pied ou à deux stations de tram. De nombreux restaurants , coiffeurs et bars.",5,D,E,,,,https://www.leboncoin.fr/colocations/1888835101.htmm,"Disponible dès le mois de Janvier 2021 , une chambre dans une belle colocation au 54 rue du onze novembre, à Saint-Étienne. L’appartement est chic dans une deco sombre et contemporaine. L’appartement mesure 80m2 et dispose de 3 chambres en tout. L’appartement est situé au 54 rue du onze novembre au premier étage avec ascenseur . Il dispose d’un emplacement idéal pour les étudiants . Le tram au pied de l’immeuble, une grand centre commercial avec un hyper à 200 m. Le centre ville de Saint-Étienne se trouve à 10 min à pied ou à deux stations de tram. De nombreux restaurants , coiffeurs et bars. La rue reste cependant très calme grâce aux triples vitrages dans l’appartement. Le loyer s’élève à 380€ charges comprises. Dans les charges on compte , l’électricité, l’eau , internet et le chauffage. L’appartement est entièrement équipé, TV avec Netflix, lave-linge sèche-linge, cuisine équipée. Votre chambre dispose de tout , lit avec couette et draps, un coin bureau , une commode et penderie. Pour plus d’info 0659740021 . Frank",04/12/2020
6,Appartement,Colocation,330,990,98,"10,10204082",4,3,Possibilité d'une cave (vélo).loué meublé et tout équipé. ,SAINT-ETIENNE,rue Désirée Claude à 3 min à pied du campus Jean Monnet,5,A,B,,780,,https://www.leboncoin.fr/colocations/1831497882.htm,"Loue appartement 98 m2 pour une colocation étudiant à St Etienne rue Désirée Claude à 3 min à pied du campus Jean Monnet . Trois chambres à partager dans le quartier de la Tréfilerie. Immeuble sécurisé avec badge à l'entrée. Possibilité d'une cave (vélo). Appartement loué meublé et tout équipé. CUISINE : Table et chaises, Four micro onde, plaque à induction, frigo combiné, lave vaisselle, lave linge, four, grille pain, cafetière, presse orange, un ensemble moulinex, table et fer à repasser, étendage à linge individuel, aspirateur, balai. Ensemble de casseroles, assiettes, bols, fourchettes, cuillères, couteau ... SALLE A MANGER : Table à manger chaises et banc. SALON : Belle piéce de 30 m2 disposant d'un grand canapé d'angle, d'une grande TV, et d'une table salon. Chaque chambre est fermée avec un verrou, elle dispose d'un lit une place, un bureau, une commode, une armoire, un panier à linge, une poubelle, une lampe de bureau. SALLE DE BAIN : baignoire, lavabo meubles de rangement. WC indépendant. L'appartement dispose de plusieurs placards. L'appartement dispose de l'accès internet FIBRE. Non fumeur, pas d'animaux. CONDITIONS : 1 : Aucun frais d'agence, de bail, d'état des lieux ( c'est moi qui m'en occupe). 2 : Dépôt de garantie : deux mois de loyers hors charges 3 : un garant/colocataire 4 : Bail non solidaire de 9 ou 12 mois. 5 : Loyer : 265 euros/chambre 6 : charges : 65 euros /chambres. Les charges comprennent : eau, chauffage, EDF, fibre, charge de copropriété.... Le paiement du loyer se fait en début de mois d'avance par virement. LES PLUS : Appartement spacieux, tranquille pour étudier, proche immédiate de la faculté et des transports. Coup de cœur assuré. Je reste à disposition pour plus de renseignement.",04/12/2020
7,Appartement,Location,510,510,32,"15,9375",2,1,,SAINT-ETIENNE,QUARTIER FACULTES TREFILERIE,5,D,E,,540,168,https://www.leboncoin.fr/locations/1883559957.htm,"Facultes - EXCLUSIVITÉ - APPARTEMENT F2 MEUBLE ENTIEREMENT RENOVE En location : venez découvrir cet appartement T2 meublé de 32 m², dans la ville de SAINT ETIENNE (42100) QUARTIER FACULTES TREFILERIE entièrement rénové. Il se compose d'une cuisine ouverte sur séjour, une chambre,une salle de bain et WC. Le chauffage et l'eau chaude sont individuels au gaz. Cet appartement est situé dans un immeuble de bon standing. Il est équipé d'un ascenseur. Pour votre véhicule, l'appartement est mis en location avec un garage. L'appartement se trouve dans le quartier de TREFILERIE. Tous les types d'établissements scolaires se trouvent à moins de 10 minutes du bien. Niveau transports en commun, plusieurs arrêts de bus et deux lignes de tramway (T1 et T3) sont présents dans le quartier. Le bien est soumis au statut de la copropriété. Loyer de 510,00 euros par mois charges comprises dont 45,00 euros par mois de provision pour charges (soumis à la régularisation annuelle). Soit avec Assurance Habitation et Assistance* ( 14.00 euros ) : 524,00 euros. Les honoraires charge locataire sont de 352,00 euros ( soit 11,00 euros/m² ) dont 96,00 euros pour état des lieux ( soit 3,00 euros/m² ). Vous pouvez consulter les barèmes d'honoraires à l'adresse suivante : ***#bareme-location *Service facultatif. Contribution annuelle ""attentats"" non comprise. Voir conditions en agence. Référence annonce : GES36751003-151 Honoraires à la charge du locataire : 352 € TTC dont 96 € pour l'état des lieux Dépôt de garantie : 930 €",04/12/2020
8,Appartement,Location,690,690,50,"13,8",2,1,entièrement rénové en 2020 (isolation murs cloisons plafonds...) ,SAINT-ETIENNE,a 50 mètre de l'arrêt de tram de la place Jean jaurès,5,,,,,,https://www.leboncoin.fr/locations/1887065633.htm,"BONJOUR, Le bien se trouve a 50 mètre de l'arrêt de tram de la place Jean jaurès Faculté en 15 mn en tram Hôpital nord : 20 mn en tram A louer T2 en hyper centre situé au 2 place Jacquard à Saint Etienne au 3ème étage sans ascenseur. L'appartement a été entièrement rénové en 2020 (isolation murs cloisons plafonds...) Entièrement équipé : Cuisine équipée plaque induction four hotte micro onde lave vaisselle machine à laver... Une chambre avec lit en 140 cm Salon avec canapé convertible lit, télé en 160 cm... Salle de bains avec grand bac à douches et toilette Vous n'avez rien à faire à part poser vos valises. Disponible à compter du 20 Décembre 2020 N'hésitez pas à m'appeler si besoin de plus de précisions Prévoir 2 mois de caution hors charge soit 1300€ de caution Pas de frais d'agence",04/12/2020
9,Appartement,Location,500,500,63,"7,936507937",3,/,,SAINT-ETIENNE,plein centre ville place fourneyron,5,B,B,,,,https://www.leboncoin.fr/locations/1889186288.htm,loue appartement F3 meuble plein centre ville place fourneyron Saint Etienne au 3 eme étage sans ascenseur chauffage individuelle au gaz appartement tres agréable tres bien situer tous commerces a proximité qui donne sur la place location 500 euros mensuel contact. téléphone .0610306609,04/12/2020
10,Appartement,Location,520,520,50,"10,4",2,1,garage à vélo,SAINT-ETIENNE,centre ville - rue pierre termier au bas du cours fauriel,4,C,,,360,,https://www.leboncoin.fr/locations/1852170636.htm,"Honoraires réduits T2 Pour visiter, candidatez gratuitement sur le site LA GESTION EN LIGNE Cliquez sur JE VEUX VISITER et indiquez la reference : 73063 Saint Étienne centre ville appartement T2 MEUBLÉ Situé rue pierre termier au bas du cours fauriel au 3 ème étages plein sud vue dégagé très lumineux. Cet appartement est composé dune entrée, dune cuisine équipé qui donne sur un balcon, dune piece à vivre avec cheminé bar et cuisine ouverte. Salle de bain avec baignoire et douche massante, wc séparé, une chambre avec placard et bureau ainsi que de nombreux rangement. Chauffage électricité, gaz et eau individuel. Belle hauteur sous plafond, charme de lancien parquet, cheminée. Copro avec garage à vélo. Adresse : 16 rue Pierre termier 42100 St Etienne Honoraires locataire : 500€ Référence annonce : ___73063 Honoraires à la charge du locataire : 500 € TTC Montant des charges : 30 € / mois",04/12/2020
